id,lat,lon,name
2,52.2522771,20.9005156,
3,52.252424,20.9007235,
4,52.2526268,20.9007168,
5,52.2526522,20.9006444,Sztab wejście E
6,52.2526391,20.9003909,
7,52.2526317,20.9009944,
8,52.2527138,20.901095,
9,52.2535102,20.9021585,
11,52.2538402,20.9025957,
12,52.2538189,20.9015469,
13,52.2537893,20.900863,
14,52.253942,20.9008496,
15,52.2537836,20.9006444,
16,52.2541588,20.9011298,
17,52.2522951,20.9002031,
18,52.2522405,20.9002179,
20,52.2525874,20.8996023,
21,52.2526186,20.899491,
22,52.2522725,20.8993093,
23,52.2522742,20.9004103,Brama główna
24,52.2522713,20.9002863,
25,52.2526059,20.9002581,
27,52.2524745,20.899833,
28,52.2537368,20.9005451,
29,52.2537351,20.8994937,
30,52.2540175,20.8994454,
31,52.2536949,20.8994635,
32,52.2536855,20.8993703,
33,52.2531481,20.8994521,Oficer dyżurny
34,52.2546809,20.9000154,
35,52.2548467,20.8993502,
36,52.2547343,20.8996788,
37,52.2542302,20.8993891,
38,52.2547137,20.9000851,
39,52.254726,20.8999805,
40,52.255029,20.9000731,
41,52.2549034,20.9003332,
42,52.2555035,20.9002796,
43,52.2551472,20.900753,
44,52.2551767,20.90093,
45,52.2553212,20.9009957,
46,52.2550027,20.9012988,
47,52.2549198,20.9013337,
48,52.2557169,20.9013847,
49,52.2559025,20.9010118,
50,52.2536727,20.898972,
51,52.2535705,20.8982793,
52,52.2535451,20.8982813,
53,52.2535336,20.8979796,
54,52.2534884,20.8982833,
55,52.2533394,20.8983001,
56,52.2534441,20.8984074,
57,52.2532926,20.8994052,
58,52.2530242,20.8994454,
59,52.2527935,20.8984812,
60,52.2527733,20.898402,
61,52.2526436,20.8985006,
62,52.2526235,20.8984235,
63,52.2525816,20.8987125,
64,52.2522791,20.8984235,
65,52.2530036,20.8983403,
66,52.2529002,20.8983859,
67,52.2527122,20.8984563,Przystanek WAT 02
68,52.2525394,20.899552,
69,52.2526297,20.8999014,Biuro przepustek
70,52.2522483,20.8985113,
71,52.2521317,20.8985147,
72,52.2522725,20.8982746,
73,52.2521949,20.8982827,
74,52.2521736,20.8981365,
75,52.2516703,20.8975967,
76,52.2516777,20.8981928,
77,52.2513764,20.8979769,
78,52.2513247,20.8976403,
79,52.2514913,20.8973761,
80,52.2516153,20.8971977,
81,52.2516326,20.8975317,
82,52.2521161,20.8975598,
83,52.2521334,20.8979313,
84,52.2520463,20.8977637,
85,52.252057,20.8976068,
86,52.2513074,20.8971749,
87,52.2513723,20.8967739,
88,52.2517303,20.8970261,
89,52.2517335,20.8972272,
90,52.2516268,20.8973318,
